state,week,aqi_mean,aqi_p90,aqi_max,days_reported,state_raw,state_norm,state_abbr
AL,2024-04-13,45.44444444444444,56.2,78,99,Alabama,Alabama,AL
AL,2024-04-20,46.63,58.20000000000002,72,100,Alabama,Alabama,AL
AL,2024-04-27,48.32,61.0,93,100,Alabama,Alabama,AL
AL,2024-05-04,43.58,56.0,74,100,Alabama,Alabama,AL
AL,2024-05-11,39.73,54.0,61,100,Alabama,Alabama,AL
AL,2024-05-18,41.62105263157895,52.60000000000001,80,95,Alabama,Alabama,AL
AL,2024-05-25,43.78,55.10000000000001,68,100,Alabama,Alabama,AL
AL,2024-06-01,45.93877551020408,58.0,74,98,Alabama,Alabama,AL
AL,2024-06-08,40.98969072164948,54.400000000000006,115,97,Alabama,Alabama,AL
AL,2024-06-15,51.67,64.0,119,100,Alabama,Alabama,AL
AL,2024-06-22,44.82828282828283,58.0,112,99,Alabama,Alabama,AL
AL,2024-06-29,48.45544554455446,67.0,97,101,Alabama,Alabama,AL
AL,2024-07-06,40.25252525252525,52.2,75,99,Alabama,Alabama,AL
AL,2024-07-13,46.6530612244898,67.0,105,98,Alabama,Alabama,AL
AL,2024-07-20,39.85,56.0,77,100,Alabama,Alabama,AL
AL,2024-07-27,31.87,49.10000000000001,58,100,Alabama,Alabama,AL
AL,2024-08-03,44.41414141414141,73.80000000000001,102,99,Alabama,Alabama,AL
AL,2024-08-10,49.67326732673267,62.0,78,101,Alabama,Alabama,AL
AL,2024-08-17,47.696969696969695,59.2,90,99,Alabama,Alabama,AL
AL,2024-08-24,50.06122448979592,60.3,102,98,Alabama,Alabama,AL
AL,2024-08-31,45.118811881188115,68.0,100,101,Alabama,Alabama,AL
AL,2024-09-07,40.48,52.0,63,100,Alabama,Alabama,AL
AL,2024-09-14,37.19,53.10000000000001,64,100,Alabama,Alabama,AL
AL,2024-09-21,41.494949494949495,55.0,87,99,Alabama,Alabama,AL
AL,2024-09-28,41.01020408163265,57.599999999999994,80,98,Alabama,Alabama,AL
AL,2024-10-05,36.88,52.0,74,100,Alabama,Alabama,AL
AL,2024-10-12,46.86138613861386,58.0,71,101,Alabama,Alabama,AL
AL,2024-10-19,40.12,52.0,90,100,Alabama,Alabama,AL
AL,2024-10-26,50.26,71.0,96,100,Alabama,Alabama,AL
AL,2024-11-02,47.125,61.5,89,96,Alabama,Alabama,AL
AL,2024-11-09,35.875,52.10000000000001,63,80,Alabama,Alabama,AL
AL,2024-11-16,32.5921052631579,52.0,74,76,Alabama,Alabama,AL
AL,2024-11-23,28.63157894736842,55.0,98,76,Alabama,Alabama,AL
AL,2024-11-30,39.72839506172839,58.0,83,81,Alabama,Alabama,AL
AL,2024-12-07,41.770270270270274,56.0,82,74,Alabama,Alabama,AL
AL,2024-12-14,33.2,52.0,76,75,Alabama,Alabama,AL
AL,2024-12-21,36.91139240506329,55.2,67,79,Alabama,Alabama,AL
AL,2024-12-28,40.025,59.10000000000001,76,80,Alabama,Alabama,AL
AL,2025-01-04,26.9390243902439,46.200000000000045,59,82,Alabama,Alabama,AL
AL,2025-01-11,31.469135802469136,49.0,60,81,Alabama,Alabama,AL
AL,2025-01-18,35.7,54.10000000000001,77,80,Alabama,Alabama,AL
AL,2025-01-25,31.963414634146343,53.900000000000006,70,82,Alabama,Alabama,AL
AL,2025-02-01,38.666666666666664,54.3,133,78,Alabama,Alabama,AL
AL,2025-02-08,44.328947368421055,59.5,64,76,Alabama,Alabama,AL
AL,2025-02-15,31.759036144578314,50.8,58,83,Alabama,Alabama,AL
AL,2025-02-22,39.607594936708864,57.0,78,79,Alabama,Alabama,AL
AL,2025-03-01,53.10843373493976,67.8,90,83,Alabama,Alabama,AL
AL,2025-03-08,43.75257731958763,55.0,65,97,Alabama,Alabama,AL
AL,2025-03-15,46.744897959183675,61.599999999999994,93,98,Alabama,Alabama,AL
AL,2025-03-22,44.95918367346939,54.3,73,98,Alabama,Alabama,AL
AL,2025-03-29,53.50515463917526,73.0,112,97,Alabama,Alabama,AL
AL,2025-04-05,39.785714285714285,53.3,56,98,Alabama,Alabama,AL
AL,2025-04-12,44.53061224489796,64.89999999999999,93,98,Alabama,Alabama,AL
AL,2025-04-19,55.5,71.0,93,98,Alabama,Alabama,AL
AL,2025-04-26,41.90816326530612,54.3,60,98,Alabama,Alabama,AL
AL,2025-05-03,42.316326530612244,55.0,62,98,Alabama,Alabama,AL
AL,2025-05-10,38.98979591836735,47.0,62,98,Alabama,Alabama,AL
AL,2025-05-17,41.07142857142857,52.3,71,98,Alabama,Alabama,AL
AL,2025-05-24,41.816326530612244,52.0,58,98,Alabama,Alabama,AL
AL,2025-05-31,33.33673469387755,46.19999999999999,64,98,Alabama,Alabama,AL
AL,2025-06-07,50.87755102040816,65.3,81,98,Alabama,Alabama,AL
AL,2025-06-14,36.2680412371134,53.0,64,97,Alabama,Alabama,AL
AL,2025-06-21,35.634408602150536,49.8,55,93,Alabama,Alabama,AL
AL,2025-06-28,46.83157894736842,60.0,73,95,Alabama,Alabama,AL
AL,2025-07-05,42.52808988764045,58.2,65,89,Alabama,Alabama,AL
AL,2025-07-12,44.48192771084337,57.0,64,83,Alabama,Alabama,AL
AL,2025-07-19,34.6144578313253,44.8,53,83,Alabama,Alabama,AL
AL,2025-07-26,36.333333333333336,52.0,55,84,Alabama,Alabama,AL
AL,2025-08-02,41.75,53.0,61,84,Alabama,Alabama,AL
AL,2025-08-09,32.15853658536585,51.400000000000034,55,82,Alabama,Alabama,AL
AL,2025-08-16,32.70238095238095,49.0,64,84,Alabama,Alabama,AL
AL,2025-08-23,43.226190476190474,53.0,58,84,Alabama,Alabama,AL
AL,2025-08-30,40.853658536585364,53.0,58,82,Alabama,Alabama,AL
AL,2025-09-06,43.25,51.0,53,12,Alabama,Alabama,AL
AK,2021-01-02,74.6923076923077,156.8,189,13,Alaska,Alaska,AK
AK,2021-01-09,44.41463414634146,116.0,174,41,Alaska,Alaska,AK
AK,2021-01-16,36.651162790697676,75.80000000000004,163,43,Alaska,Alaska,AK
AK,2021-01-23,38.0,87.0,116,41,Alaska,Alaska,AK
AK,2021-01-30,45.97560975609756,86.0,163,41,Alaska,Alaska,AK
AK,2021-02-06,38.04545454545455,64.4,93,44,Alaska,Alaska,AK
AK,2021-02-13,46.475,69.30000000000001,131,40,Alaska,Alaska,AK
AK,2021-02-20,38.4390243902439,73.0,120,41,Alaska,Alaska,AK
AK,2021-02-27,29.613636363636363,50.500000000000014,113,44,Alaska,Alaska,AK
AK,2021-03-06,32.390243902439025,59.0,76,41,Alaska,Alaska,AK
AK,2021-03-13,37.65853658536585,59.0,76,41,Alaska,Alaska,AK
AK,2021-03-20,28.272727272727273,51.7,62,44,Alaska,Alaska,AK
AK,2021-03-27,28.2,43.300000000000004,53,40,Alaska,Alaska,AK
AK,2021-04-03,24.121951219512194,41.0,53,41,Alaska,Alaska,AK
AK,2021-04-10,23.113636363636363,39.7,59,44,Alaska,Alaska,AK
AK,2021-04-17,26.07894736842105,46.10000000000003,74,38,Alaska,Alaska,AK
AK,2021-04-24,40.648648648648646,62.599999999999994,86,37,Alaska,Alaska,AK
AK,2021-05-01,28.59090909090909,51.7,60,44,Alaska,Alaska,AK
AK,2021-05-08,25.48780487804878,42.0,50,41,Alaska,Alaska,AK
AK,2021-05-15,20.463414634146343,38.0,48,41,Alaska,Alaska,AK
AK,2021-05-22,25.431818181818183,42.0,69,44,Alaska,Alaska,AK
AK,2021-05-29,22.21951219512195,40.0,55,41,Alaska,Alaska,AK
AK,2021-06-05,19.463414634146343,35.0,61,41,Alaska,Alaska,AK
AK,2021-06-12,19.738095238095237,31.0,33,42,Alaska,Alaska,AK
AK,2021-06-19,25.86842105263158,37.300000000000004,83,38,Alaska,Alaska,AK
AK,2021-06-26,20.21951219512195,35.0,56,41,Alaska,Alaska,AK
AK,2021-07-03,26.318181818181817,47.50000000000004,111,44,Alaska,Alaska,AK
AK,2021-07-10,25.414634146341463,36.0,183,41,Alaska,Alaska,AK
AK,2021-07-17,26.45,53.2,88,40,Alaska,Alaska,AK
AK,2021-07-24,31.09090909090909,54.10000000000001,80,44,Alaska,Alaska,AK
AK,2021-07-31,22.853658536585368,33.0,53,41,Alaska,Alaska,AK
AK,2021-08-07,27.341463414634145,39.0,93,41,Alaska,Alaska,AK
AK,2021-08-14,14.590909090909092,23.0,32,44,Alaska,Alaska,AK
AK,2021-08-21,22.2,33.2,46,40,Alaska,Alaska,AK
AK,2021-08-28,15.538461538461538,23.200000000000003,53,39,Alaska,Alaska,AK
AK,2021-09-04,18.613636363636363,32.0,61,44,Alaska,Alaska,AK
AK,2021-09-11,16.70731707317073,30.0,34,41,Alaska,Alaska,AK
AK,2021-09-18,21.615384615384617,40.000000000000014,53,39,Alaska,Alaska,AK
AK,2021-09-25,19.272727272727273,29.0,107,44,Alaska,Alaska,AK
AK,2021-10-02,24.926829268292682,46.0,55,41,Alaska,Alaska,AK
AK,2021-10-09,22.29268292682927,38.0,60,41,Alaska,Alaska,AK
AK,2021-10-16,17.767441860465116,30.400000000000013,38,43,Alaska,Alaska,AK
AK,2021-10-23,34.84615384615385,72.4,107,39,Alaska,Alaska,AK
AK,2021-10-30,25.794871794871796,47.000000000000014,66,39,Alaska,Alaska,AK
AK,2021-11-06,24.5609756097561,43.0,60,41,Alaska,Alaska,AK
AK,2021-11-13,30.973684210526315,58.800000000000026,85,38,Alaska,Alaska,AK
AK,2021-11-20,43.58536585365854,71.0,157,41,Alaska,Alaska,AK
AK,2021-11-27,34.18181818181818,62.7,152,44,Alaska,Alaska,AK
AK,2021-12-04,41.0,79.0,157,41,Alaska,Alaska,AK
AK,2021-12-11,32.68292682926829,58.0,157,41,Alaska,Alaska,AK
AK,2021-12-18,50.48837209302326,79.40000000000003,152,43,Alaska,Alaska,AK
AK,2021-12-25,43.073170731707314,68.0,125,41,Alaska,Alaska,AK
AK,2022-01-01,35.4,64.0,72,40,Alaska,Alaska,AK
AK,2022-01-08,59.2093023255814,107.20000000000006,180,43,Alaska,Alaska,AK
AK,2022-01-15,35.55263157894737,58.300000000000004,77,38,Alaska,Alaska,AK
AK,2022-01-22,38.371428571428574,69.6,111,35,Alaska,Alaska,AK
AK,2022-01-29,30.275,59.000000000000014,106,40,Alaska,Alaska,AK
AK,2022-02-05,42.37837837837838,105.19999999999989,168,37,Alaska,Alaska,AK
AK,2022-02-12,25.682926829268293,49.0,71,41,Alaska,Alaska,AK
AK,2022-02-19,26.568181818181817,40.10000000000001,76,44,Alaska,Alaska,AK
AK,2022-02-26,29.21951219512195,52.0,81,41,Alaska,Alaska,AK
AK,2022-03-05,31.4390243902439,53.0,90,41,Alaska,Alaska,AK
AK,2022-03-12,25.40909090909091,44.0,60,44,Alaska,Alaska,AK
AK,2022-03-19,29.5609756097561,59.0,92,41,Alaska,Alaska,AK
AK,2022-03-26,22.26829268292683,42.0,51,41,Alaska,Alaska,AK
AK,2022-04-02,26.84090909090909,58.300000000000026,75,44,Alaska,Alaska,AK
AK,2022-04-09,24.70731707317073,43.0,62,41,Alaska,Alaska,AK
AK,2022-04-16,36.09756097560975,61.0,72,41,Alaska,Alaska,AK
AK,2022-04-23,29.386363636363637,49.7,63,44,Alaska,Alaska,AK
AK,2022-04-30,27.21951219512195,43.0,68,41,Alaska,Alaska,AK
AK,2022-05-07,24.170731707317074,43.0,61,41,Alaska,Alaska,AK
AK,2022-05-14,22.658536585365855,37.0,43,41,Alaska,Alaska,AK
AK,2022-05-21,24.414634146341463,37.0,53,41,Alaska,Alaska,AK
AK,2022-05-28,25.317073170731707,39.0,53,41,Alaska,Alaska,AK
AK,2022-06-04,32.23809523809524,43.9,60,42,Alaska,Alaska,AK
AK,2022-06-11,23.974358974358974,36.400000000000006,74,39,Alaska,Alaska,AK
AK,2022-06-18,48.35,80.2,159,40,Alaska,Alaska,AK
AK,2022-06-25,42.883720930232556,80.80000000000004,189,43,Alaska,Alaska,AK
AK,2022-07-02,70.65853658536585,164.0,310,41,Alaska,Alaska,AK
AK,2022-07-09,58.4054054054054,167.8,221,37,Alaska,Alaska,AK
AK,2022-07-16,33.30952380952381,60.699999999999996,163,42,Alaska,Alaska,AK
AK,2022-07-23,14.048780487804878,23.0,28,41,Alaska,Alaska,AK
AK,2022-07-30,19.5609756097561,37.0,58,41,Alaska,Alaska,AK
AK,2022-08-06,15.818181818181818,29.500000000000014,38,44,Alaska,Alaska,AK
AK,2022-08-13,16.463414634146343,31.0,38,41,Alaska,Alaska,AK
AK,2022-08-20,14.78048780487805,27.0,31,41,Alaska,Alaska,AK
AK,2022-08-27,16.75,31.0,50,44,Alaska,Alaska,AK
AK,2022-09-03,13.275,22.1,31,40,Alaska,Alaska,AK
AK,2022-09-10,14.61111111111111,25.0,46,36,Alaska,Alaska,AK
AK,2022-09-17,18.76923076923077,43.000000000000014,52,39,Alaska,Alaska,AK
AK,2022-09-24,20.153846153846153,36.2,45,39,Alaska,Alaska,AK
AK,2022-10-01,20.871794871794872,43.2,57,39,Alaska,Alaska,AK
AK,2022-10-08,25.853658536585368,48.0,59,41,Alaska,Alaska,AK
AK,2022-10-15,23.097560975609756,41.0,65,41,Alaska,Alaska,AK
AK,2022-10-22,22.37142857142857,39.6,59,35,Alaska,Alaska,AK
AK,2022-10-29,21.38888888888889,48.0,65,36,Alaska,Alaska,AK
AK,2022-11-05,22.133333333333333,54.1,65,30,Alaska,Alaska,AK
AK,2022-11-12,31.40625,72.80000000000001,88,32,Alaska,Alaska,AK
AK,2022-11-19,40.256410256410255,77.0,112,39,Alaska,Alaska,AK
AK,2022-11-26,36.42857142857143,65.0,118,35,Alaska,Alaska,AK
AK,2022-12-03,38.76923076923077,72.80000000000001,88,39,Alaska,Alaska,AK
AK,2022-12-10,33.56818181818182,62.7,95,44,Alaska,Alaska,AK
AK,2022-12-17,35.78048780487805,67.0,152,41,Alaska,Alaska,AK
